case,date,descrip,lat,long
JD385886,10/02/2020 12:01:00 AM,ARSON,41.966646151,-87.778664567
JD332889,08/15/2020 12:02:00 AM,ARSON,41.900815705,-87.769250661
JD470346,12/26/2020 09:52:00 PM,ARSON,41.723696509,-87.607791365
JD364816,09/12/2020 07:52:00 AM,ARSON,41.893134362,-87.748904585
JD364751,09/12/2020 10:34:00 AM,ARSON,41.928371152,-87.779518087
JD364574,09/12/2020 05:45:00 AM,ARSON,41.708422727,-87.610142198
JD394465,10/09/2020 10:15:00 PM,ARSON,41.893572855,-87.721912357
JD394483,10/09/2020 10:15:00 PM,ARSON,41.893573109,-87.721960102
JD365659,09/13/2020 07:20:00 AM,ARSON,41.792012424,-87.798229342
JE157538,03/03/2021 06:10:00 AM,ARSON,41.941522892,-87.743971316
JD465984,12/22/2020 06:48:00 AM,ARSON,41.876721194,-87.694820165
JD366549,09/14/2020 04:13:00 AM,ARSON,41.911607553,-87.77404562
JE116952,01/19/2021 09:59:00 AM,ARSON,41.868296296,-87.699269325
JE188809,04/04/2021 12:30:00 AM,ARSON,41.651031295,-87.547161068
JD268742,06/19/2020 02:25:00 AM,ARSON,41.986392486,-87.656700734
JD395194,10/10/2020 04:56:00 PM,ARSON,41.802425216,-87.59151444
JD458564,12/14/2020 08:00:00 AM,ARSON,41.710037253,-87.628388444
JD395668,10/11/2020 04:54:00 AM,ARSON,41.752380946,-87.610114408
JE130701,02/02/2021 07:00:00 PM,ARSON,41.791102531,-87.6201486
JE118600,01/20/2021 11:10:00 PM,ARSON,41.76563691,-87.695039399
JE171597,03/17/2021 03:00:00 PM,ARSON,41.949202784,-87.705441654
JD389061,10/05/2020 07:00:00 AM,ARSON,41.980481946,-87.737492237
JD458585,12/14/2020 08:00:00 AM,ARSON,41.71016625,-87.628390697
JD356707,09/04/2020 08:45:00 PM,ARSON,41.80666709,-87.61558187
JD367634,09/15/2020 04:23:00 AM,ARSON,41.881166399,-87.757536733
JD397405,10/12/2020 07:10:00 PM,ARSON,41.750772111,-87.624538423
JD396572,10/12/2020 02:05:00 AM,ARSON,41.704863751,-87.613705019
JE118148,01/20/2021 02:51:00 AM,ARSON,41.867804916,-87.738212951
JE101863,01/03/2021 04:03:00 AM,ARSON,41.765819528,-87.660200043
JD459400,12/15/2020 02:32:00 AM,ARSON,41.754442135,-87.633638343
JD459303,12/14/2020 09:45:00 PM,ARSON,41.836273814,-87.642233578
JD398683,10/13/2020 11:30:00 PM,ARSON,41.904691771,-87.733741497
JE255495,06/06/2021 04:00:00 AM,ARSON,41.899796115,-87.717676539
JE172000,03/17/2021 11:12:00 PM,ARSON,41.673548279,-87.616795523
JD368503,09/15/2020 09:53:00 PM,ARSON,41.813278735,-87.633482568
JD399655,10/14/2020 08:25:00 PM,ARSON,41.756550472,-87.592600053
JD435988,11/19/2020 03:15:00 PM,ARSON,41.76586026,-87.599189956
JD339501,08/20/2020 07:45:00 PM,ARSON,42.003666167,-87.699803396
JE118154,01/20/2021 03:10:00 PM,ARSON,41.922797092,-87.780547396
JE144507,02/17/2021 12:01:00 AM,ARSON,42.009167912,-87.663019975
JE118794,01/21/2021 09:00:00 AM,ARSON,41.972364558,-87.656304974
JE119637,01/21/2021 11:31:00 PM,ARSON,41.96106209,-87.667723243
JE118693,01/21/2021 04:58:00 AM,ARSON,41.892319584,-87.711339316
JD460412,12/16/2020 05:30:00 AM,ARSON,41.87834831,-87.709256932
JD330409,08/12/2020 11:03:00 PM,ARSON,41.876748835,-87.747900918
JE108732,01/10/2021 11:15:00 AM,ARSON,41.88405495,-87.632427936
JD461127,12/16/2020 07:30:00 PM,ARSON,41.691876323,-87.611751836
JE118679,01/21/2021 03:25:00 AM,ARSON,41.877850151,-87.736342529
JD473282,12/30/2020 07:34:00 AM,ARSON,41.757570521,-87.641777522
JE100576,12/30/2020 09:01:00 AM,ARSON,41.833116625,-87.67903129
JD470529,12/27/2020 07:12:00 AM,ARSON,41.737575882,-87.619403786
JE159461,03/04/2021 09:58:00 PM,ARSON,41.87273456,-87.726337091
JE223589,05/08/2021 01:01:00 PM,ARSON,41.751173846,-87.569878279
JE158562,03/04/2021 12:22:00 AM,ARSON,41.775251772,-87.649528386
JD462141,12/17/2020 11:40:00 PM,ARSON,41.754746518,-87.559969959
JD388952,10/05/2020 12:05:00 AM,ARSON,41.924870416,-87.690676659
JD388951,10/04/2020 10:49:00 PM,ARSON,41.927551505,-87.690183049
JD474272,12/31/2020 08:35:00 AM,ARSON,41.877937797,-87.728964722
JD392367,10/08/2020 03:18:00 AM,ARSON,41.851926037,-87.693686723
JD438442,11/22/2020 06:23:00 AM,ARSON,41.977056099,-87.841539563
JE189861,04/05/2021 08:23:00 AM,ARSON,41.659193667,-87.55776584
JE119775,01/22/2021 07:30:00 AM,ARSON,41.898900854,-87.771618345
JD462264,12/18/2020 07:10:00 AM,ARSON,41.835327158,-87.641341059
