case_number,date_of_occurrence,primary_description,latitude,longitude
JD424989,11/08/2020 01:22:00 PM,HOMICIDE,41.761848394,-87.702741177
JE113489,01/18/2021 06:27:00 PM,HOMICIDE,41.757885272,-87.607820559
JD425287,11/08/2020 06:39:00 PM,HOMICIDE,41.751583011,-87.650127802
JE224104,05/08/2021 10:08:00 PM,HOMICIDE,41.880773152,-87.721810393
JD469828,12/26/2020 12:01:00 PM,HOMICIDE,41.793461345,-87.645135997
JD448552,12/03/2020 02:45:00 PM,HOMICIDE,41.67910436,-87.681113542
JD393235,10/08/2020 09:00:00 PM,HOMICIDE,41.871112926,-87.748055152
JD419464,11/03/2020 01:33:00 PM,HOMICIDE,41.870828951,-87.716346436
JD455780,12/11/2020 04:50:00 AM,HOMICIDE,41.79568265,-87.619250687
JE241639,05/24/2021 09:35:00 PM,HOMICIDE,41.874699955,-87.683791888
JD426385,11/09/2020 05:50:00 PM,HOMICIDE,41.902738881,-87.718364581
JD364412,09/12/2020 12:25:00 AM,HOMICIDE,41.780401475,-87.675142115
JD364485,09/12/2020 03:04:00 AM,HOMICIDE,41.883310937,-87.763293978
JD364956,09/12/2020 02:46:00 PM,HOMICIDE,41.779188117,-87.682784152
JD365391,09/12/2020 11:18:00 PM,HOMICIDE,41.889763017,-87.763365161
JD364523,09/12/2020 03:14:00 AM,HOMICIDE,41.895682989,-87.652616066
JD425614,11/09/2020 02:25:00 AM,HOMICIDE,41.784271981,-87.740346369
JE224125,05/08/2021 10:23:00 PM,HOMICIDE,41.892637979,-87.711350918
JD364485,09/12/2020 03:09:00 AM,HOMICIDE,41.883310937,-87.763293978
JD426385,11/09/2020 05:50:00 PM,HOMICIDE,41.902738881,-87.718364581
JD426429,11/09/2020 06:50:00 PM,HOMICIDE,42.00445423,-87.666932652
JD469441,12/26/2020 08:50:00 PM,HOMICIDE,41.745827484,-87.602298459
JD419688,11/03/2020 03:00:00 PM,HOMICIDE,41.87342332,-87.735219792
JD425636,11/09/2020 02:42:00 AM,HOMICIDE,41.875806202,-87.750872705
JD470337,12/26/2020 10:20:00 PM,HOMICIDE,41.759110016,-87.634511264
JE189464,04/04/2021 06:49:00 PM,HOMICIDE,41.724465094,-87.655455745
JD394445,10/09/2020 11:55:00 PM,HOMICIDE,41.697295713,-87.614712135
JD365439,09/13/2020 12:17:00 AM,HOMICIDE,41.783104769,-87.612090172
JD366214,09/13/2020 06:17:00 PM,HOMICIDE,41.677310769,-87.623873529
JD366057,09/13/2020 04:48:00 PM,HOMICIDE,41.782707791,-87.660646744
JD314664,08/09/2020 11:33:00 AM,HOMICIDE,41.734366796,-87.597496998
JD396749,10/09/2020 12:30:00 PM,HOMICIDE,41.841112189,-87.635917069
JD364157,09/13/2020 04:11:00 PM,HOMICIDE,41.973308003,-87.655280009
JD394573,10/10/2020 03:28:00 AM,HOMICIDE,41.882123956,-87.706153898
JD427781,11/10/2020 11:21:00 PM,HOMICIDE,41.876196319,-87.723983712
JD394559,10/10/2020 03:43:00 AM,HOMICIDE,41.878717176,-87.738427509
JE188855,04/04/2021 02:14:00 AM,HOMICIDE,41.697980205,-87.629084036
JE154771,02/28/2021 05:03:00 AM,HOMICIDE,41.73688603,-87.666741917
JD322197,08/06/2020 12:01:00 AM,HOMICIDE,41.744226478,-87.643855503
JD424633,11/08/2020 01:50:00 AM,HOMICIDE,41.8804407,-87.749684919
JD428578,11/11/2020 06:25:00 PM,HOMICIDE,41.863472736,-87.710455229
JE189165,04/04/2021 12:27:00 PM,HOMICIDE,41.835193736,-87.716674135
JD369840,09/17/2020 01:14:00 AM,HOMICIDE,41.77464798,-87.781143133
JD470467,12/27/2020 04:26:00 AM,HOMICIDE,41.743793506,-87.570980728
JD395656,10/11/2020 04:20:00 AM,HOMICIDE,41.80663257,-87.716397921
JD428133,11/11/2020 12:24:00 PM,HOMICIDE,41.721005667,-87.643202686
JE189658,04/04/2021 11:58:00 PM,HOMICIDE,41.769874082,-87.656671484
JD395285,10/10/2020 07:19:00 PM,HOMICIDE,41.878486473,-87.730498121
JD420053,11/04/2020 07:00:00 AM,HOMICIDE,41.880359783,-87.755935589
JD429730,11/12/2020 11:55:00 PM,HOMICIDE,41.779304087,-87.67472071
JE154771,02/28/2021 05:05:00 AM,HOMICIDE,41.73688603,-87.666741917
JD429711,11/12/2020 11:06:00 PM,HOMICIDE,41.688273899,-87.638617386
JD457527,12/13/2020 12:37:00 AM,HOMICIDE,41.860183952,-87.706709735
JD396031,10/11/2020 03:41:00 PM,HOMICIDE,41.852829615,-87.633569125
JE143335,02/16/2021 07:37:00 PM,HOMICIDE,41.757638586,-87.626357727
JD366458,09/14/2020 12:55:00 AM,HOMICIDE,41.967164275,-87.661908762
JD458309,12/13/2020 07:20:00 PM,HOMICIDE,41.798417673,-87.618644539
JD470565,12/27/2020 09:36:00 AM,HOMICIDE,41.797819461,-87.748700513
JD428578,11/12/2020 02:24:00 AM,HOMICIDE,41.863472736,-87.710455229
JD367419,09/14/2020 09:21:00 PM,HOMICIDE,41.971988645,-87.718754305
JD389428,10/05/2020 01:19:00 PM,HOMICIDE,41.679080457,-87.639539915
