ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60602,21,05/23/2021,05/29/2021,0,107,0,8601.3,73,2831,5868,227572.3,0.0,0.0,0,2,0.0,160.8,1244,60602-2021-21,POINT (-87.628309 41.883136)
60602,23,06/06/2021,06/12/2021,0,107,0,8601.3,71,2968,5707,238585.2,0.0,0.0,0,2,0.0,160.8,1244,60602-2021-23,POINT (-87.628309 41.883136)
60604,20,05/16/2021,05/22/2021,0,109,0,13938.6,238,4003,30435,511892.6,0.0,0.0,0,0,0.0,0.0,782,60604-2021-20,POINT (-87.629029 41.878153)
60603,21,05/23/2021,05/29/2021,1,81,85,6899.5,53,2835,4514,241482.1,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-21,POINT (-87.625473 41.880112)
60603,23,06/06/2021,06/12/2021,0,81,0,6899.5,42,2928,3578,249403.7,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-23,POINT (-87.625473 41.880112)
60607,37,09/06/2020,09/12/2020,22,678,74,2291.2,724,10325,2447,34892.4,0.0,0.0,0,4,0.0,13.5,29591,60607-2020-37,POINT (-87.652727 41.876104)
60607,38,09/13/2020,09/19/2020,25,703,84,2375.7,848,11173,2866,37758.1,0.0,0.0,0,4,0.0,13.5,29591,60607-2020-38,POINT (-87.652727 41.876104)
60607,39,09/20/2020,09/26/2020,40,743,135,2510.9,1311,12484,4430,42188.5,0.0,0.0,0,4,0.0,13.5,29591,60607-2020-39,POINT (-87.652727 41.876104)
60607,40,09/27/2020,10/03/2020,18,761,61,2571.7,1226,13710,4143,46331.7,0.0,0.0,0,4,0.0,13.5,29591,60607-2020-40,POINT (-87.652727 41.876104)
60607,41,10/04/2020,10/10/2020,34,795,115,2686.6,1211,14921,4092,50424.1,0.0,0.0,0,4,0.0,13.5,29591,60607-2020-41,POINT (-87.652727 41.876104)
60607,23,06/06/2021,06/12/2021,2,2697,7,9114.3,1022,70148,3454,237058.6,0.0,0.0,0,9,0.0,30.4,29591,60607-2021-23,POINT (-87.652727 41.876104)
60608,29,07/12/2020,07/18/2020,39,1971,49,2488.5,1861,13760,2350,17372.6,0.0,0.1,1,73,1.3,92.2,79205,60608-2020-29,POINT (-87.670366 41.849879)
60608,35,08/23/2020,08/29/2020,81,2422,102,3057.9,1910,24118,2412,30450.1,0.1,0.1,0,77,0.0,97.2,79205,60608-2020-35,POINT (-87.670366 41.849879)
60608,41,10/04/2020,10/10/2020,106,2884,134,3641.2,2140,35281,2702,44543.9,0.1,0.1,0,80,0.0,101.0,79205,60608-2020-41,POINT (-87.670366 41.849879)
60608,42,10/11/2020,10/17/2020,130,3014,164,3805.3,2179,37460,2751,47295,0.1,0.1,1,81,1.3,102.3,79205,60608-2020-42,POINT (-87.670366 41.849879)
60608,23,06/06/2021,06/12/2021,13,8167,16,10311.2,1770,115782,2235,146180.2,0.0,0.1,1,142,1.3,179.3,79205,60608-2021-23,POINT (-87.670366 41.849879)
60609,24,06/07/2020,06/13/2020,46,1788,75,2907.6,642,6968,1044,11331,0.1,0.3,2,65,3.3,105.7,61495,60609-2020-24,POINT (-87.653382 41.812017)
60609,25,06/14/2020,06/20/2020,25,1813,41,2948.2,862,7830,1402,12732.7,0.1,0.2,4,69,6.5,112.2,61495,60609-2020-25,POINT (-87.653382 41.812017)
60609,26,06/21/2020,06/27/2020,40,1853,65,3013.3,955,8785,1553,14285.7,0.0,0.2,2,71,3.3,115.5,61495,60609-2020-26,POINT (-87.653382 41.812017)
60609,27,06/28/2020,07/04/2020,44,1897,72,3084.8,888,9673,1444,15729.7,0.1,0.2,2,73,3.3,118.7,61495,60609-2020-27,POINT (-87.653382 41.812017)
60609,23,06/06/2021,06/12/2021,10,7402,16,12036.8,980,83365,1594,135563.9,0.0,0.1,1,154,1.6,250.4,61495,60609-2021-23,POINT (-87.653382 41.812017)
60610,23,06/06/2021,06/12/2021,7,3586,18,9190.4,1143,77034,2929,197426.9,0.0,0.0,0,32,0.0,82.0,39019,60610-2021-23,POINT (-87.63581 41.90455)
60611,11,03/14/2021,03/20/2021,39,2043,120,6300.5,1364,46413,4206,143135.1,0.0,0.0,1,15,3.1,46.3,32426,60611-2021-11,POINT (-87.620291 41.894734)
60611,15,04/11/2021,04/17/2021,36,2209,111,6812.4,1232,51320,3799,158268.1,0.0,0.0,0,15,0.0,46.3,32426,60611-2021-15,POINT (-87.620291 41.894734)
60611,16,04/18/2021,04/24/2021,24,2233,74,6886.4,1124,52444,3466,161734.4,0.0,0.0,0,15,0.0,46.3,32426,60611-2021-16,POINT (-87.620291 41.894734)
60611,17,04/25/2021,05/01/2021,38,2271,117,7003.6,1260,53704,3886,165620.2,0.0,0.0,0,15,0.0,46.3,32426,60611-2021-17,POINT (-87.620291 41.894734)
60611,18,05/02/2021,05/08/2021,12,2283,37,7040.6,1144,54848,3528,169148.2,0.0,0.0,1,16,3.1,49.3,32426,60611-2021-18,POINT (-87.620291 41.894734)
60611,19,05/09/2021,05/15/2021,4,2287,12,7053,980,55828,3022,172170.5,0.0,0.0,0,16,0.0,49.3,32426,60611-2021-19,POINT (-87.620291 41.894734)
60611,9,02/28/2021,03/06/2021,21,1978,65,6100,1136,43785,3503,135030.5,0.0,0.0,0,14,0.0,43.2,32426,60611-2021-9,POINT (-87.620291 41.894734)
60612,40,09/27/2020,10/03/2020,18,1017,52,2964.1,1145,16828,3337,49045.5,0.0,0.1,0,31,0.0,90.4,34311,60612-2020-40,POINT (-87.687011 41.88004)
60612,49,11/29/2020,12/05/2020,180,2188,525,6377,2206,32286,6429,94098.1,0.1,0.1,8,45,23.3,131.2,34311,60612-2020-49,POINT (-87.687011 41.88004)
60602,11,03/14/2021,03/20/2021,0,97,0,7797.4,59,2108,4743,169453.4,0.0,0.1,0,2,0.0,160.8,1244,60602-2021-11,POINT (-87.628309 41.883136)
60602,16,04/18/2021,04/24/2021,3,105,241,8440.5,72,2444,5788,196463,0.0,0.1,0,2,0.0,160.8,1244,60602-2021-16,POINT (-87.628309 41.883136)
60602,17,04/25/2021,05/01/2021,1,106,80,8520.9,80,2524,6431,202893.9,0.0,0.0,0,2,0.0,160.8,1244,60602-2021-17,POINT (-87.628309 41.883136)
60612,50,12/06/2020,12/12/2020,141,2329,411,6787.9,2263,34549,6596,100693.7,0.1,0.1,2,47,5.8,137.0,34311,60612-2020-50,POINT (-87.687011 41.88004)
60612,52,12/20/2020,12/26/2020,57,2489,166,7254.2,1720,38380,5013,111859.2,0.0,0.1,1,50,2.9,145.7,34311,60612-2020-52,POINT (-87.687011 41.88004)
60612,53,12/27/2020,01/02/2021,98,2587,286,7539.9,1430,39810,4168,116026.9,0.1,0.1,3,53,8.7,154.5,34311,60612-2020-53,POINT (-87.687011 41.88004)
60612,1,01/03/2021,01/09/2021,101,2688,294,7834.2,2292,42102,6680,122707,0.1,0.1,0,53,0.0,154.5,34311,60612-2021-1,POINT (-87.687011 41.88004)
60602,12,03/21/2021,03/27/2021,2,99,161,7958.2,72,2180,5788,175241.2,0.1,0.1,0,2,0.0,160.8,1244,60602-2021-12,POINT (-87.628309 41.883136)
